Measurement:	B1B2_Out
Date:	2022-04-29	Time:	15:56:59
#################################################################################
V_Drain	V_Gate	I_Drain	I_Gate	t_Time	
0.0	0.0	-1.12218e-11	4.331183e-12	0.4999997615814209	
-0.5	0.0	-1.697381e-11	-3.69381e-12	1.9299240112304688	
-1.0	0.0	-1.459406e-11	-1.549948e-12	3.3499932289123535	
-1.5	0.0	-1.75078e-11	-5.797115e-12	4.780258417129517	
-2.0	0.0	-2.508234e-11	-8.033688e-12	6.220259189605713	
-2.5	0.0	-4.875789e-11	-6.811103e-12	7.640250205993652	
-3.0	0.0	-1.112464e-10	-1.170143e-11	9.070247173309326	
-3.5	0.0	-2.441346e-10	1.92079e-12	10.580243349075317	
-4.0	0.0	-3.918818e-10	-9.250469e-12	11.990240335464478	
-4.5	0.0	-6.674618e-10	-3.496809e-12	13.41023850440979	
-5.0	0.0	-7.213018e-10	3.809707e-12	14.830235719680786	
0.0	-1.0	-1.656395e-12	4.475842e-11	16.270231008529663	
-0.5	-1.0	-3.6309e-09	-1.561536e-12	17.580230951309204	
-1.0	-1.0	-5.493815e-09	1.82544e-11	19.000224351882935	
-1.5	-1.0	-6.886978e-09	-5.795994e-11	20.100090503692627	
-2.0	-1.0	-7.135614e-09	9.916695e-12	21.400072813034058	
-2.5	-1.0	-7.141755e-09	4.290213e-11	22.490097522735596	
-3.0	-1.0	-6.923619e-09	5.33356e-12	24.12006640434265	
-3.5	-1.0	-6.731053e-09	-6.84587e-12	25.530213832855225	
-4.0	-1.0	-7.932007e-09	8.873758e-12	26.940212965011597	
-4.5	-1.0	-7.62777e-09	-4.597712e-12	28.350201845169067	
-5.0	-1.0	-7.712298e-09	-3.253448e-12	29.770204067230225	
0.0	-2.0	-2.370327e-12	-1.851241e-12	31.53019642829895	
-0.5	-2.0	-1.420243e-08	-2.450086e-11	33.29019546508789	
-1.0	-2.0	-2.6646e-08	-1.378156e-11	34.72019410133362	
-1.5	-2.0	-3.833565e-08	-3.764796e-11	36.140188217163086	
-2.0	-2.0	-4.216556e-08	-6.869049e-12	37.570183992385864	
-2.5	-2.0	-3.799088e-08	3.137224e-11	39.01018309593201	
-3.0	-2.0	-4.214021e-08	1.548482e-11	40.45017886161804	
-3.5	-2.0	-3.71161e-08	-7.234084e-12	41.87017869949341	
-4.0	-2.0	-4.151139e-08	-6.347564e-12	43.28016901016235	
-4.5	-2.0	-4.358272e-08	2.505873e-11	44.38028430938721	
-5.0	-2.0	-4.080207e-08	-2.105329e-11	45.680251598358154	
0.0	-3.0	1.788372e-11	-2.042463e-12	47.430397272109985	
-0.5	-3.0	-2.478761e-08	-6.460501e-13	49.18039131164551	
-1.0	-3.0	-5.564886e-08	3.253687e-11	50.59038591384888	
-1.5	-3.0	-8.049057e-08	7.220326e-11	52.00843000411987	
-2.0	-3.0	-9.478418e-08	-7.037081e-12	53.41842532157898	
-2.5	-3.0	-1.04054e-07	2.430343e-11	55.12842106819153	
-3.0	-3.0	-1.067541e-07	-1.3938e-11	56.258418560028076	
-3.5	-3.0	-1.06597e-07	3.681706e-11	57.076438903808594	
-4.0	-3.0	-1.060338e-07	-5.385722e-12	58.106407165527344	
-4.5	-3.0	-1.031511e-07	5.174266e-11	58.91643261909485	
-5.0	-3.0	-1.106621e-07	-2.742117e-11	59.92654776573181	
0.0	-4.0	1.848144e-11	-2.59871e-12	61.68654680252075	
-0.5	-4.0	-3.520853e-08	4.099949e-11	63.11641049385071	
-1.0	-4.0	-7.978335e-08	-2.174283e-11	64.41639018058777	
-1.5	-4.0	-1.221419e-07	2.686859e-11	65.79642176628113	
-2.0	-4.0	-1.561032e-07	1.809796e-11	66.8363847732544	
-2.5	-4.0	-1.784682e-07	6.663593e-14	67.96653056144714	
-3.0	-4.0	-1.911229e-07	-2.58567e-11	69.08653140068054	
-3.5	-4.0	-1.94412e-07	-7.332583e-12	70.21652507781982	
-4.0	-4.0	-2.054362e-07	1.999843e-11	71.35652279853821	
-4.5	-4.0	-2.014567e-07	-5.913299e-11	72.4867331981659	
-5.0	-4.0	-1.971723e-07	4.761892e-11	73.61691546440125	
0.0	-5.0	1.624146e-11	-5.965152e-12	75.39691686630249	
-0.5	-5.0	-4.076001e-08	-3.664844e-12	77.15558862686157	
-1.0	-5.0	-9.238263e-08	1.289217e-12	78.57558846473694	
-1.5	-5.0	-1.441324e-07	-1.481294e-11	80.28558945655823	
-2.0	-5.0	-1.908535e-07	-3.245636e-11	81.41557955741882	
-2.5	-5.0	-2.200577e-07	-1.470865e-11	82.54866170883179	
-3.0	-5.0	-2.452417e-07	-4.144901e-11	83.66677355766296	
-3.5	-5.0	-2.493573e-07	3.927542e-11	84.79693818092346	
-4.0	-5.0	-2.490873e-07	2.098923e-11	85.94505047798157	
-4.5	-5.0	-2.636692e-07	-1.972933e-12	87.10569953918457	
-5.0	-5.0	-2.601483e-07	5.656496e-11	88.25569581985474	
