Measurement:	B2R1_Out
Date:	2022-04-29	Time:	16:09:17
#################################################################################
V_Drain	V_Gate	I_Drain	I_Gate	t_Time	
0.0	0.0	-1.359577e-11	1.874436e-12	0.5038061141967773	
-0.5	0.0	-2.085688e-11	-1.255319e-11	1.9545247554779053	
-1.0	0.0	-1.732207e-11	-1.101192e-11	3.3958311080932617	
-1.5	0.0	-1.617866e-11	-9.569157e-12	4.8304150104522705	
-2.0	0.0	-1.775739e-11	-1.567335e-12	6.272053003311157	
-2.5	0.0	-1.883699e-11	-4.2371e-11	7.3831517696380615	
-3.0	0.0	-2.179717e-11	5.408886e-12	8.683120012283325	
-3.5	0.0	-2.805998e-11	-3.580353e-11	9.783117771148682	
-4.0	0.0	-3.46362e-11	6.845822e-12	11.08311414718628	
-4.5	0.0	-4.033593e-11	-5.206106e-12	12.493262529373169	
-5.0	0.0	-5.047604e-11	-3.705401e-12	13.91325044631958	
0.0	-1.0	-4.715256e-12	-6.637278e-12	15.663229942321777	
-0.5	-1.0	-1.246948e-10	-6.808178e-13	17.09322762489319	
-1.0	-1.0	-1.628231e-10	-2.106201e-12	18.51312828063965	
-1.5	-1.0	-1.579998e-10	7.726526e-12	19.933237314224243	
-2.0	-1.0	-1.501234e-10	-4.151559e-12	21.34323811531067	
-2.5	-1.0	-1.116818e-10	-2.830476e-12	22.753223180770874	
-3.0	-1.0	-1.630902e-10	-3.890823e-12	24.183086156845093	
-3.5	-1.0	-1.615463e-10	-6.944376e-12	25.614049434661865	
-4.0	-1.0	-1.116297e-10	-2.656651e-12	27.05162477493286	
-4.5	-1.0	-1.176138e-10	-1.057444e-12	28.46993899345398	
-5.0	-1.0	-1.467336e-10	1.972936e-12	29.89407706260681	
0.0	-2.0	-7.76249e-12	-4.325387e-12	31.6486759185791	
-0.5	-2.0	-1.745307e-09	5.151066e-11	32.74725317955017	
-1.0	-2.0	-2.905188e-09	-4.896118e-13	34.05708575248718	
-1.5	-2.0	-3.481431e-09	-5.936403e-11	35.15832805633545	
-2.0	-2.0	-3.354357e-09	4.597712e-12	36.467231035232544	
-2.5	-2.0	-3.006246e-09	-1.688728e-11	37.89487051963806	
-3.0	-2.0	-3.118141e-09	-8.729002e-12	39.32321119308472	
-3.5	-2.0	-3.219664e-09	-1.418137e-11	40.74321460723877	
-4.0	-2.0	-3.76414e-09	5.48421e-12	42.18670296669006	
-4.5	-2.0	-3.467706e-09	9.916699e-12	43.61751341819763	
-5.0	-2.0	-3.055089e-09	1.926583e-12	45.063188552856445	
0.0	-3.0	-1.644803e-12	1.142896e-11	46.82402276992798	
-0.5	-3.0	-4.909573e-09	1.011093e-12	48.25307631492615	
-1.0	-3.0	-8.994467e-09	1.64846e-12	49.67470073699951	
-1.5	-3.0	-1.204448e-08	-4.65482e-11	51.09618520736694	
-2.0	-3.0	-1.46635e-08	2.932696e-11	52.425883769989014	
-2.5	-3.0	-1.583094e-08	6.492384e-12	53.86738109588623	
-3.0	-3.0	-1.598953e-08	9.209817e-12	55.28738975524902	
-3.5	-3.0	-1.661476e-08	-9.621322e-12	56.723880767822266	
-4.0	-3.0	-1.588988e-08	-1.097716e-11	58.15491437911987	
-4.5	-3.0	-1.66711e-08	-9.7259e-11	59.58502531051636	
-5.0	-3.0	-1.680489e-08	2.174827e-11	61.023014307022095	
0.0	-4.0	2.705973e-13	-7.321006e-12	62.787564277648926	
-0.5	-4.0	-7.095749e-09	-5.524801e-12	64.22217512130737	
-1.0	-4.0	-1.501286e-08	4.864241e-12	65.96734094619751	
-1.5	-4.0	-2.250838e-08	-2.348691e-11	67.38717007637024	
-2.0	-4.0	-2.903968e-08	1.216482e-11	68.83007550239563	
-2.5	-4.0	-3.13978e-08	3.729383e-11	70.2700719833374	
-3.0	-4.0	-3.469644e-08	3.050662e-12	71.70564317703247	
-3.5	-4.0	-3.382867e-08	-3.53651e-11	73.14309453964233	
-4.0	-4.0	-3.227279e-08	-3.809417e-11	74.57620358467102	
-4.5	-4.0	-3.20843e-08	-6.39017e-11	76.00007748603821	
-5.0	-4.0	-3.255901e-08	1.046135e-11	77.42505764961243	
0.0	-5.0	-6.580817e-13	-1.329487e-11	79.20445704460144	
-0.5	-5.0	-8.707815e-09	-1.961349e-12	80.63022017478943	
-1.0	-5.0	-1.687002e-08	-1.127848e-11	82.38490056991577	
-1.5	-5.0	-2.686633e-08	-2.301761e-11	83.80385971069336	
-2.0	-5.0	-3.49947e-08	-5.713047e-11	84.89504098892212	
-2.5	-5.0	-4.097467e-08	1.81733e-11	86.20408654212952	
-3.0	-5.0	-4.515545e-08	-3.514205e-12	87.65217971801758	
-3.5	-5.0	-4.765562e-08	-5.17628e-11	89.07750272750854	
-4.0	-5.0	-4.781814e-08	-7.509615e-11	90.48755192756653	
-4.5	-5.0	-4.9787e-08	-5.70318e-11	91.59481191635132	
-5.0	-5.0	-4.934039e-08	6.563866e-11	92.92443871498108	
