Measurement:	B2T2_Out
Date:	2022-04-29	Time:	16:01:03
#################################################################################
V_Drain	V_Gate	I_Drain	I_Gate	t_Time	
0.0	0.0	-1.129724e-11	-1.129804e-13	0.49999451637268066	
-0.5	0.0	-1.466951e-11	1.593482e-13	1.9309978485107422	
-1.0	0.0	-1.461727e-11	1.298176e-11	3.35099458694458	
-1.5	0.0	-1.922585e-11	3.397378e-11	4.771732568740845	
-2.0	0.0	-2.774648e-11	-3.059057e-11	6.181732416152954	
-2.5	0.0	-2.441484e-11	3.562206e-11	7.2815821170806885	
-3.0	0.0	-2.775227e-11	1.582667e-11	8.591578960418701	
-3.5	0.0	-2.728212e-11	-4.464433e-12	10.001720905303955	
-4.0	0.0	-3.318504e-11	-8.350167e-12	11.087964057922363	
-4.5	0.0	-3.970321e-11	-4.505001e-12	12.388090372085571	
-5.0	0.0	-4.323803e-11	1.192724e-11	13.808086633682251	
0.0	-1.0	7.061062e-12	2.673116e-11	15.588051319122314	
-0.5	-1.0	-9.268428e-11	-3.966136e-12	17.00808048248291	
-1.0	-1.0	-1.226225e-10	5.559531e-12	18.41807794570923	
-1.5	-1.0	-1.393447e-10	-3.472765e-11	19.828078985214233	
-2.0	-1.0	-1.348232e-10	-3.319218e-11	21.248069524765015	
-2.5	-1.0	-1.407028e-10	-5.762344e-11	22.35792088508606	
-3.0	-1.0	-1.892494e-10	-1.079752e-11	23.667918920516968	
-3.5	-1.0	-1.360421e-10	-3.896604e-12	25.078060626983643	
-4.0	-1.0	-1.4429e-10	-2.355346e-12	26.498058080673218	
-4.5	-1.0	-1.351888e-10	-1.156236e-11	27.918054342269897	
-5.0	-1.0	-1.258033e-10	1.489382e-11	29.328049898147583	
0.0	-2.0	-6.526153e-12	3.641675e-12	31.088022232055664	
-0.5	-2.0	-1.56187e-09	-6.99055e-11	32.18789839744568	
-1.0	-2.0	-2.518371e-09	-1.665826e-12	33.488043785095215	
-1.5	-2.0	-2.78897e-09	4.093624e-12	34.90804076194763	
-2.0	-2.0	-2.824154e-09	5.994089e-12	36.33803749084473	
-2.5	-2.0	-2.781691e-09	-3.088609e-11	37.75803351402283	
-3.0	-2.0	-2.729303e-09	-3.815485e-12	39.18803071975708	
-3.5	-2.0	-2.812693e-09	-1.179992e-11	40.608025550842285	
-4.0	-2.0	-2.732885e-09	2.800005e-11	42.01802444458008	
-4.5	-2.0	-2.563802e-09	5.872033e-11	43.438021421432495	
-5.0	-2.0	-2.649307e-09	-7.360116e-11	44.53787088394165	
0.0	-3.0	-9.77305e-13	-8.236471e-12	46.17801761627197	
-0.5	-3.0	-4.654808e-09	-2.569445e-11	47.61801075935364	
-1.0	-3.0	-8.330082e-09	-7.129778e-12	49.038006067276	
-1.5	-3.0	-1.156465e-08	1.47142e-11	50.78800320625305	
-2.0	-3.0	-1.29638e-08	-1.584429e-11	52.208256483078	
-2.5	-3.0	-1.361756e-08	4.713593e-12	53.63825249671936	
-3.0	-3.0	-1.360085e-08	-1.376416e-11	55.05835580825806	
-3.5	-3.0	-1.366048e-08	-4.920531e-11	56.16820812225342	
-4.0	-3.0	-1.355879e-08	1.548482e-11	57.46828627586365	
-4.5	-3.0	-1.373106e-08	-4.807176e-11	58.8784282207489	
-5.0	-3.0	-1.271617e-08	1.430975e-11	59.99690508842468	
0.0	-4.0	1.72167e-12	-3.857086e-11	61.32557916641235	
-0.5	-4.0	-7.509698e-09	5.733354e-12	62.62549018859863	
-1.0	-4.0	-1.421637e-08	1.131886e-11	64.04563474655151	
-1.5	-4.0	-2.044768e-08	-2.633467e-12	65.45699548721313	
-2.0	-4.0	-2.45179e-08	2.430682e-12	66.86699771881104	
-2.5	-4.0	-2.792883e-08	1.438394e-11	68.30699586868286	
-3.0	-4.0	-2.896448e-08	-4.926535e-11	69.72526669502258	
-3.5	-4.0	-3.015267e-08	2.261156e-11	71.13525533676147	
-4.0	-4.0	-2.920857e-08	-3.457358e-11	72.23695588111877	
-4.5	-4.0	-3.039009e-08	-2.892186e-11	73.54695439338684	
-5.0	-4.0	-2.995875e-08	-5.374134e-12	74.95709609985352	
0.0	-5.0	7.9025e-12	5.385709e-12	76.7170639038086	
-0.5	-5.0	-9.375182e-09	1.961351e-12	78.45528864860535	
-1.0	-5.0	-1.792209e-08	7.714938e-12	80.1953706741333	
-1.5	-5.0	-2.613498e-08	-1.694806e-12	81.60536408424377	
-2.0	-5.0	-3.330336e-08	-2.182394e-11	83.02536201477051	
-2.5	-5.0	-3.773896e-08	-8.711602e-12	84.45588231086731	
-3.0	-5.0	-4.120676e-08	1.199098e-11	85.89587688446045	
-3.5	-5.0	-4.188916e-08	-2.005092e-11	87.33587336540222	
-4.0	-5.0	-4.164764e-08	-4.067835e-11	88.77587080001831	
-4.5	-5.0	-4.165928e-08	4.102267e-11	89.89573836326599	
-5.0	-5.0	-4.223783e-08	-3.52781e-11	91.18586373329163	
