Measurement:	L1L2_Out
Date:	2022-04-29	Time:	14:56:04
#################################################################################
V_Drain	V_Gate	I_Drain	I_Gate	t_Time	
0.0	0.0	-8.534484e-12	8.256755e-13	0.38985753059387207	
-0.5	0.0	-1.471022e-11	-2.375347e-11	1.8299975395202637	
-1.0	0.0	-1.553441e-11	1.810958e-11	3.239989757537842	
-1.5	0.0	-2.216291e-11	2.773297e-11	4.350420951843262	
-2.0	0.0	-2.566286e-11	-7.367374e-12	5.650353670120239	
-2.5	0.0	-2.406669e-11	-1.659759e-11	7.07049822807312	
-3.0	0.0	-3.663874e-11	2.056922e-13	8.480498790740967	
-3.5	0.0	-4.454418e-11	5.269829e-12	9.89049768447876	
-4.0	0.0	-6.70821e-11	-4.788938e-12	11.300487041473389	
-4.5	0.0	-6.883501e-11	-2.471249e-12	12.730484247207642	
-5.0	0.0	-1.118271e-10	3.780735e-12	14.170482635498047	
0.0	-1.0	4.089863e-11	-6.460639e-13	15.490483522415161	
-0.5	-1.0	-3.393974e-09	-8.143807e-12	16.920478582382202	
-1.0	-1.0	-4.355408e-09	9.053386e-12	18.350473165512085	
-1.5	-1.0	-4.299536e-09	1.508505e-11	19.790468454360962	
-2.0	-1.0	-4.66775e-09	-4.890374e-11	20.890350341796875	
-2.5	-1.0	-4.779619e-09	-6.214323e-12	22.19046425819397	
-3.0	-1.0	-4.064105e-09	-9.401159e-12	23.62046194076538	
-3.5	-1.0	-3.396642e-09	-3.201321e-12	25.040461540222168	
-4.0	-1.0	-4.027986e-09	-5.970964e-12	26.46045756340027	
-4.5	-1.0	-4.382184e-09	3.641674e-12	27.870452165603638	
-5.0	-1.0	-4.17146e-09	5.513182e-12	29.280451774597168	
0.0	-2.0	3.399089e-12	-6.961786e-12	31.030445098876953	
-0.5	-2.0	-2.166449e-08	6.463415e-12	32.78043866157532	
-1.0	-2.0	-3.513834e-08	-8.526234e-12	34.20043659210205	
-1.5	-2.0	-3.544198e-08	-1.866615e-11	35.630433797836304	
-2.0	-2.0	-4.408484e-08	-9.609749e-12	37.05043125152588	
-2.5	-2.0	-4.684194e-08	1.565288e-11	38.48043084144592	
-3.0	-2.0	-4.513075e-08	-2.35275e-11	39.89043307304382	
-3.5	-2.0	-4.320455e-08	-3.250279e-11	41.310420751571655	
-4.0	-2.0	-4.577478e-08	4.821585e-11	42.41031336784363	
-4.5	-2.0	-4.848869e-08	2.285496e-11	43.72027516365051	
-5.0	-2.0	-4.83797e-08	1.807482e-11	45.14041256904602	
0.0	-3.0	2.42439e-11	-9.766197e-12	46.90040826797485	
-0.5	-3.0	-4.664469e-08	-1.337021e-11	48.65040636062622	
-1.0	-3.0	-8.543534e-08	-1.099458e-11	50.06040287017822	
-1.5	-3.0	-1.143534e-07	-1.499259e-11	51.76040005683899	
-2.0	-3.0	-1.187032e-07	6.55808e-11	52.8908109664917	
-2.5	-3.0	-1.313412e-07	2.756477e-11	53.70219969749451	
-3.0	-3.0	-1.345473e-07	-1.833587e-11	54.72214198112488	
-3.5	-3.0	-1.333821e-07	-3.921832e-11	55.84090971946716	
-4.0	-3.0	-1.339767e-07	-2.029433e-11	56.98090744018555	
-4.5	-3.0	-1.356951e-07	-1.191584e-11	58.12090444564819	
-5.0	-3.0	-1.354718e-07	1.283114e-11	59.25090503692627	
0.0	-4.0	2.870645e-11	-1.010805e-11	61.010897159576416	
-0.5	-4.0	-6.358481e-08	-4.690442e-12	62.76090455055237	
-1.0	-4.0	-1.212771e-07	-3.562587e-11	64.47107934951782	
-1.5	-4.0	-1.71031e-07	1.626127e-11	65.60926628112793	
-2.0	-4.0	-2.02829e-07	-1.349768e-11	66.7497284412384	
-2.5	-4.0	-2.179474e-07	-2.964045e-11	67.8784191608429	
-3.0	-4.0	-2.316305e-07	-2.078105e-11	69.01841759681702	
-3.5	-4.0	-2.362993e-07	9.986238e-12	70.13841390609741	
-4.0	-4.0	-2.445233e-07	-1.233884e-11	71.26841235160828	
-4.5	-4.0	-2.476941e-07	-3.11739e-11	72.0806474685669	
-5.0	-4.0	-2.507284e-07	1.654517e-11	73.1006441116333	
0.0	-5.0	3.284403e-11	-9.424335e-12	74.85079050064087	
-0.5	-5.0	-7.617413e-08	-3.647482e-12	76.60077905654907	
-1.0	-5.0	-1.460047e-07	1.590513e-12	78.310781955719	
-1.5	-5.0	-2.062357e-07	-9.841519e-12	79.44140124320984	
-2.0	-5.0	-2.525872e-07	-3.902427e-12	80.57139205932617	
-2.5	-5.0	-3.047982e-07	5.46683e-12	81.69138956069946	
-3.0	-5.0	-3.064829e-07	3.87772e-11	82.83138728141785	
-3.5	-5.0	-3.367195e-07	-4.025547e-11	83.96138405799866	
-4.0	-5.0	-3.379734e-07	-5.012213e-11	84.77123427391052	
-4.5	-5.0	-3.41026e-07	2.665591e-11	85.80123257637024	
-5.0	-5.0	-3.392446e-07	4.302988e-11	86.60122990608215	
