Measurement:	L1T1_Out
Date:	2022-04-29	Time:	14:38:21
#################################################################################
V_Drain	V_Gate	I_Drain	I_Gate	t_Time	
0.0	0.0	-9.486372e-12	-6.251444e-11	0.1799154281616211	
-0.5	0.0	-1.5517e-11	-2.001917e-12	1.4899871349334717	
-1.0	0.0	-1.34449e-11	5.588506e-12	2.9199938774108887	
-1.5	0.0	-1.419945e-11	-5.243813e-13	4.3399858474731445	
-2.0	0.0	-1.745565e-11	8.11474e-12	5.760842323303223	
-2.5	0.0	-2.012561e-11	-6.055044e-13	7.180840730667114	
-3.0	0.0	-2.058416e-11	9.531486e-13	8.60083818435669	
-3.5	0.0	-2.346305e-11	5.542154e-12	10.02083683013916	
-4.0	0.0	-2.887266e-11	-1.212444e-11	11.440830707550049	
-4.5	0.0	-3.2065e-11	8.230623e-12	12.890804529190063	
-5.0	0.0	-3.698703e-11	1.042659e-11	14.310824632644653	
0.0	-1.0	-3.571835e-12	-1.155952e-12	16.070772886276245	
-0.5	-1.0	-3.020794e-10	-1.248949e-11	17.48081636428833	
-1.0	-1.0	-4.362741e-10	-7.394955e-11	18.570696115493774	
-1.5	-1.0	-6.302932e-10	-4.748387e-12	19.870666027069092	
-2.0	-1.0	-5.319865e-10	1.557177e-11	21.290802240371704	
-2.5	-1.0	-5.333446e-10	5.878212e-12	22.710789442062378	
-3.0	-1.0	-5.943886e-10	-2.404674e-13	24.140799522399902	
-3.5	-1.0	-5.980274e-10	2.042724e-11	25.58079981803894	
-4.0	-1.0	-5.115091e-10	-6.619922e-12	27.000794410705566	
-4.5	-1.0	-6.058052e-10	1.364538e-12	28.410791873931885	
-5.0	-1.0	-5.590813e-10	1.915831e-11	29.820791959762573	
0.0	-2.0	-1.319781e-12	-1.042095e-11	31.580698490142822	
-0.5	-2.0	-3.192078e-09	1.375241e-11	33.0007803440094	
-1.0	-2.0	-5.805498e-09	-1.854447e-11	34.41077709197998	
-1.5	-2.0	-7.405442e-09	1.732738e-11	35.840776205062866	
-2.0	-2.0	-7.925748e-09	1.228651e-11	37.260772466659546	
-2.5	-2.0	-8.484339e-09	6.422048e-11	38.35088872909546	
-3.0	-2.0	-8.667142e-09	1.250668e-11	39.98083734512329	
-3.5	-2.0	-8.673406e-09	-1.699161e-11	41.382704734802246	
-4.0	-2.0	-8.738097e-09	1.16174e-12	42.792701721191406	
-4.5	-2.0	-8.59252e-09	-3.776397e-11	44.232699155807495	
-5.0	-2.0	-8.89772e-09	1.385091e-11	45.972694635391235	
0.0	-3.0	9.480947e-12	-3.948781e-12	47.29268980026245	
-0.5	-3.0	-7.011809e-09	2.911598e-12	48.712687253952026	
-1.0	-3.0	-1.339499e-08	-1.495784e-11	50.462687969207764	
-1.5	-3.0	-1.87505e-08	-6.237514e-12	51.872684717178345	
-2.0	-3.0	-2.373837e-08	-2.323781e-11	53.282679319381714	
-2.5	-3.0	-2.662654e-08	4.00671e-12	54.72089457511902	
-3.0	-3.0	-2.763873e-08	-4.864271e-12	56.130895137786865	
-3.5	-3.0	-2.71213e-08	3.70541e-12	57.541242599487305	
-4.0	-3.0	-2.682034e-08	-3.173213e-11	59.063480615615845	
-4.5	-3.0	-2.790545e-08	4.781556e-11	60.1633837223053	
-5.0	-3.0	-2.824064e-08	1.489386e-11	61.463327407836914	
0.0	-4.0	1.024115e-11	2.900011e-12	63.223432779312134	
-0.5	-4.0	-1.018782e-08	-5.667802e-11	64.65335035324097	
-1.0	-4.0	-1.989681e-08	-1.259378e-11	65.95331621170044	
-1.5	-4.0	-2.833892e-08	6.364041e-11	67.04335451126099	
-2.0	-4.0	-3.764359e-08	-1.021236e-11	68.36331176757812	
-2.5	-4.0	-4.184464e-08	-7.512724e-11	69.45333671569824	
-3.0	-4.0	-4.648876e-08	-1.463054e-12	70.76330637931824	
-3.5	-4.0	-4.884775e-08	9.186651e-12	72.16879510879517	
-4.0	-4.0	-4.742724e-08	6.643036e-12	73.59879183769226	
-4.5	-4.0	-4.744377e-08	1.31788e-11	75.01878714561462	
-5.0	-4.0	-4.668333e-08	-2.173131e-11	76.428790807724	
0.0	-5.0	1.288153e-11	-5.43211e-12	77.77877116203308	
-0.5	-5.0	-1.305427e-08	-2.265259e-11	79.51877880096436	
-1.0	-5.0	-2.556542e-08	-2.169077e-11	80.93877148628235	
-1.5	-5.0	-3.540799e-08	-2.370716e-11	82.37877583503723	
-2.0	-5.0	-4.490119e-08	-1.011966e-11	83.82709240913391	
-2.5	-5.0	-5.171441e-08	2.116888e-11	85.24385952949524	
-3.0	-5.0	-5.645581e-08	-9.795172e-12	86.69384264945984	
-3.5	-5.0	-6.181221e-08	2.471235e-12	88.11385560035706	
-4.0	-5.0	-6.161623e-08	-1.622098e-11	89.54385280609131	
-4.5	-5.0	-6.26581e-08	7.002271e-12	90.96384453773499	
-5.0	-5.0	-6.355301e-08	-5.885501e-11	92.40384483337402	
