Measurement:	L3B2_Out
Date:	2022-04-29	Time:	15:35:44
#################################################################################
V_Drain	V_Gate	I_Drain	I_Gate	t_Time	
0.0	0.0	-1.228979e-11	-5.189723e-11	0.17985773086547852	
-0.5	0.0	-1.664296e-11	-4.980121e-12	1.5102689266204834	
-1.0	0.0	-1.713052e-11	-1.432621e-11	2.920410633087158	
-1.5	0.0	-1.867446e-11	-1.445369e-11	4.340407848358154	
-2.0	0.0	-2.266775e-11	-1.548506e-11	5.760406494140625	
-2.5	0.0	-2.305087e-11	-9.824093e-12	7.180400609970093	
-3.0	0.0	-2.366031e-11	-1.040351e-11	8.600397825241089	
-3.5	0.0	-2.560474e-11	-8.450872e-12	10.027430772781372	
-4.0	0.0	-3.209971e-11	-6.115795e-12	11.447423458099365	
-4.5	0.0	-4.691213e-11	1.670158e-11	12.877418518066406	
-5.0	0.0	-6.507368e-11	1.041498e-11	14.297415018081665	
0.0	-1.0	-5.150553e-12	-7.286231e-12	16.047411680221558	
-0.5	-1.0	-2.422307e-10	-1.911225e-11	17.4674072265625	
-1.0	-1.0	-5.405749e-10	-5.561614e-11	18.567258834838867	
-1.5	-1.0	-7.020255e-10	8.786846e-12	19.877256631851196	
-2.0	-1.0	-6.138133e-10	1.46273e-11	21.297401189804077	
-2.5	-1.0	-7.09752e-10	-1.736238e-11	22.70739769935608	
-3.0	-1.0	-6.180735e-10	-1.317896e-11	24.127394199371338	
-3.5	-1.0	-5.396985e-10	9.795019e-12	25.55739140510559	
-4.0	-1.0	-6.186365e-10	7.390468e-12	26.97738528251648	
-4.5	-1.0	-6.492022e-10	-8.69423e-12	28.397382497787476	
-5.0	-1.0	-5.502452e-10	-1.535386e-13	29.81738305091858	
0.0	-2.0	-6.978907e-12	-9.233082e-12	31.567375898361206	
-0.5	-2.0	-1.965594e-09	-5.345171e-12	33.00737547874451	
-1.0	-2.0	-4.856323e-09	3.021692e-12	34.42736792564392	
-1.5	-2.0	-6.263075e-09	4.690416e-12	35.83736610412598	
-2.0	-2.0	-7.943791e-09	-1.857047e-12	37.24736428260803	
-2.5	-2.0	-8.103052e-09	4.464447e-12	38.657362937927246	
-3.0	-2.0	-7.150439e-09	3.259256e-12	40.08735942840576	
-3.5	-2.0	-7.339881e-09	-1.107566e-11	41.5075101852417	
-4.0	-2.0	-7.749352e-09	-1.257636e-11	42.917882442474365	
-4.5	-2.0	-6.541306e-09	-6.741583e-12	44.34788250923157	
-5.0	-2.0	-8.304139e-09	-5.663847e-12	45.767876863479614	
0.0	-3.0	-2.074314e-12	-9.482247e-12	47.51787185668945	
-0.5	-3.0	-6.600732e-09	3.885032e-12	48.937875747680664	
-1.0	-3.0	-1.310972e-08	2.245265e-12	50.68786549568176	
-1.5	-3.0	-1.914476e-08	-8.317613e-12	52.0978639125824	
-2.0	-3.0	-2.21333e-08	1.753014e-11	53.537858724594116	
-2.5	-3.0	-2.47195e-08	-1.371203e-11	54.977859020233154	
-3.0	-3.0	-2.575472e-08	-2.604795e-11	56.39785361289978	
-3.5	-3.0	-2.608514e-08	-2.612904e-11	57.80785274505615	
-4.0	-3.0	-2.650693e-08	-2.626812e-11	59.217849016189575	
-4.5	-3.0	-2.368877e-08	2.075166e-11	60.62593388557434	
-5.0	-3.0	-2.318388e-08	1.375239e-11	62.04592490196228	
0.0	-4.0	8.883221e-12	-3.670644e-12	63.81592321395874	
-0.5	-4.0	-1.035347e-08	-9.563374e-12	65.56591987609863	
-1.0	-4.0	-2.016038e-08	-1.839664e-12	66.98591804504395	
-1.5	-4.0	-3.119715e-08	-1.187809e-13	68.40591096878052	
-2.0	-4.0	-3.982638e-08	5.177123e-12	69.8459095954895	
-2.5	-4.0	-4.248535e-08	3.38985e-11	71.25451898574829	
-3.0	-4.0	-4.420151e-08	-1.148706e-11	72.66451787948608	
-3.5	-4.0	-4.372761e-08	-1.912964e-11	74.07451367378235	
-4.0	-4.0	-4.233551e-08	-2.30929e-11	75.49450945854187	
-4.5	-4.0	-4.499892e-08	-8.331322e-11	76.59247279167175	
-5.0	-4.0	-4.47534e-08	1.503289e-11	77.89246821403503	
0.0	-5.0	1.021792e-11	-2.818889e-12	79.65260982513428	
-0.5	-5.0	-1.198509e-08	-4.707035e-11	81.09246277809143	
-1.0	-5.0	-2.165756e-08	-9.45328e-12	82.4024589061737	
-1.5	-5.0	-3.483867e-08	1.163755e-11	83.83091616630554	
-2.0	-5.0	-4.425851e-08	-8.549388e-12	85.25091481208801	
-2.5	-5.0	-5.503104e-08	-7.413708e-12	86.68903040885925	
-3.0	-5.0	-5.409994e-08	-1.484191e-11	88.10580801963806	
-3.5	-5.0	-5.859612e-08	-7.940988e-12	89.53580665588379	
-4.0	-5.0	-5.505769e-08	2.054055e-12	90.95580220222473	
-4.5	-5.0	-5.791053e-08	-1.28342e-12	92.36579632759094	
-5.0	-5.0	-6.151181e-08	2.503352e-11	93.81567049026489	
