Measurement:	L3R1_Out
Date:	2022-04-29	Time:	15:31:56
#################################################################################
V_Drain	V_Gate	I_Drain	I_Gate	t_Time	
0.0	0.0	-1.320104e-11	-4.956952e-12	0.5001537799835205	
-0.5	0.0	-2.041571e-11	2.537777e-11	1.6281862258911133	
-1.0	0.0	-1.565044e-11	-1.305726e-11	2.9182775020599365	
-1.5	0.0	-1.659073e-11	-8.20751e-12	4.348268508911133	
-2.0	0.0	-1.632951e-11	-4.817888e-12	5.778266191482544	
-2.5	0.0	-1.572008e-11	-1.824887e-11	7.1982622146606445	
-3.0	0.0	-1.969017e-11	-1.054838e-11	8.608259201049805	
-3.5	0.0	-2.334107e-11	-1.972925e-12	10.03825569152832	
-4.0	0.0	-3.608139e-11	9.592219e-12	11.458252906799316	
-4.5	0.0	-4.113687e-11	8.572462e-12	12.888251304626465	
-5.0	0.0	-4.394616e-11	1.30513e-11	14.308245420455933	
0.0	-1.0	7.339608e-12	-5.565346e-12	15.628241300582886	
-0.5	-1.0	-6.056947e-11	-8.427692e-12	17.038230180740356	
-1.0	-1.0	-9.587083e-11	7.8482e-12	18.46822953224182	
-1.5	-1.0	-8.011241e-11	1.752758e-12	19.888227462768555	
-2.0	-1.0	-9.437343e-11	-1.113358e-11	21.3182430267334	
-2.5	-1.0	-6.366897e-11	-7.86565e-12	22.758240938186646	
-3.0	-1.0	-7.324591e-11	1.214162e-11	24.168235301971436	
-3.5	-1.0	-6.296086e-11	2.133686e-11	25.588234186172485	
-4.0	-1.0	-6.363997e-11	1.444189e-11	27.00822639465332	
-4.5	-1.0	-7.192266e-11	-8.410211e-11	28.108078241348267	
-5.0	-1.0	-1.062547e-10	-8.728991e-12	29.398221969604492	
0.0	-2.0	-8.205871e-13	1.434078e-12	31.168184757232666	
-0.5	-2.0	-1.115101e-09	-3.826341e-11	32.26806879043579	
-1.0	-2.0	-2.229831e-09	-2.22585e-11	33.55821442604065	
-1.5	-2.0	-2.343373e-09	2.506008e-12	34.97821092605591	
-2.0	-2.0	-2.400063e-09	1.730996e-11	36.408196210861206	
-2.5	-2.0	-2.73989e-09	-1.148704e-11	37.81819009780884	
-3.0	-2.0	-2.567449e-09	-1.845456e-12	39.23819446563721	
-3.5	-2.0	-2.609527e-09	-1.795918e-11	40.658193588256836	
-4.0	-2.0	-2.561957e-09	4.418094e-12	42.078197956085205	
-4.5	-2.0	-2.687863e-09	8.473964e-12	43.50819134712219	
-5.0	-2.0	-2.267183e-09	-1.308046e-11	44.94818615913391	
0.0	-3.0	-2.004653e-12	-5.627754e-11	46.37843871116638	
-0.5	-3.0	-4.038629e-09	-1.036915e-11	47.37843942642212	
-1.0	-3.0	-7.999883e-09	-1.905999e-11	49.11843657493591	
-1.5	-3.0	-1.123247e-08	-6.333957e-11	50.42828440666199	
-2.0	-3.0	-1.283198e-08	-1.883086e-13	51.84840989112854	
-2.5	-3.0	-1.363669e-08	3.728588e-12	53.278427839279175	
-3.0	-3.0	-1.341765e-08	-9.540183e-12	54.68842148780823	
-3.5	-3.0	-1.443571e-08	-4.549915e-11	56.1084201335907	
-4.0	-3.0	-1.477655e-08	2.016645e-11	57.518418073654175	
-4.5	-3.0	-1.493163e-08	1.151007e-11	58.928409814834595	
-5.0	-3.0	-1.49894e-08	6.793676e-12	60.3484091758728	
0.0	-4.0	1.762298e-12	-1.868635e-12	62.11825919151306	
-0.5	-4.0	-7.454871e-09	-6.953424e-11	63.21825456619263	
-1.0	-4.0	-1.422206e-08	7.251408e-12	64.8482518196106	
-1.5	-4.0	-2.087828e-08	4.435477e-12	66.25937485694885	
-2.0	-4.0	-2.615946e-08	-4.257308e-11	67.69937062263489	
-2.5	-4.0	-2.871617e-08	2.852154e-11	69.11936807632446	
-3.0	-4.0	-3.047965e-08	7.387715e-13	70.52936553955078	
-3.5	-4.0	-3.107704e-08	-2.410685e-11	71.94936203956604	
-4.0	-4.0	-3.042449e-08	-1.077435e-11	73.37935853004456	
-4.5	-4.0	-3.001038e-08	8.619599e-11	74.80935788154602	
-5.0	-4.0	-3.155695e-08	-1.433201e-11	76.22935461997986	
0.0	-5.0	6.654851e-12	-6.939506e-11	77.66935014724731	
-0.5	-5.0	-8.82164e-09	-1.276522e-11	79.42934775352478	
-1.0	-5.0	-1.804677e-08	7.244315e-12	80.40934371948242	
-1.5	-5.0	-2.661422e-08	-3.742799e-11	81.37934160232544	
-2.0	-5.0	-3.265378e-08	4.163959e-12	82.35934066772461	
-2.5	-5.0	-3.715766e-08	-3.608201e-11	83.33933639526367	
-3.0	-5.0	-4.179475e-08	1.953632e-11	84.32933568954468	
-3.5	-5.0	-4.571203e-08	-1.670455e-11	85.3193371295929	
-4.0	-5.0	-4.466549e-08	-2.613485e-11	86.64918279647827	
-4.5	-5.0	-4.485571e-08	2.727002e-11	88.06932616233826	
-5.0	-5.0	-4.327833e-08	-1.612243e-11	89.48932218551636	
