Measurement:	R1R2_Out
Date:	2022-04-29	Time:	16:39:36
#################################################################################
V_Drain	V_Gate	I_Drain	I_Gate	t_Time	
0.0	0.0	-1.389755e-11	-3.097001e-12	0.5000004768371582	
-0.5	0.0	-1.606834e-11	-6.851654e-12	1.9299945831298828	
-1.0	0.0	-1.685771e-11	-2.430669e-12	3.349991798400879	
-1.5	0.0	-1.869765e-11	-1.92657e-12	4.779988765716553	
-2.0	0.0	-1.744975e-11	-3.099812e-13	6.209986686706543	
-2.5	0.0	-2.217442e-11	-1.535757e-11	7.61750864982605	
-3.0	0.0	-2.658564e-11	-6.00137e-11	8.71735668182373	
-3.5	0.0	-6.032575e-11	-7.234073e-12	10.027502059936523	
-4.0	0.0	-5.921129e-11	1.605264e-11	11.46749997138977	
-4.5	0.0	-6.454541e-11	1.761704e-11	12.88749361038208	
-5.0	0.0	-9.915618e-11	-1.281391e-11	14.297491312026978	
0.0	-1.0	-9.944863e-12	6.081e-12	16.05740976333618	
-0.5	-1.0	-2.270977e-09	4.603505e-12	17.467488288879395	
-1.0	-1.0	-4.055853e-09	-4.59771e-12	18.897481203079224	
-1.5	-1.0	-4.6132e-09	1.619492e-12	20.317511796951294	
-2.0	-1.0	-4.6849e-09	-1.005287e-12	21.747509241104126	
-2.5	-1.0	-4.366138e-09	-2.766737e-12	23.177505493164062	
-3.0	-1.0	-5.461273e-09	6.112966e-13	24.61750555038452	
-3.5	-1.0	-5.2096e-09	1.090748e-11	26.036383867263794	
-4.0	-1.0	-5.540444e-09	-1.110463e-11	27.44637131690979	
-4.5	-1.0	-5.247498e-09	6.937723e-11	28.536224126815796	
-5.0	-1.0	-5.69435e-09	-3.931373e-12	30.16622018814087	
0.0	-2.0	4.331232e-13	-2.465434e-12	31.92622995376587	
-0.5	-2.0	-1.159806e-08	-2.072882e-11	33.666361808776855	
-1.0	-2.0	-2.485761e-08	1.702026e-11	35.096354484558105	
-1.5	-2.0	-3.614885e-08	-1.362511e-11	36.50635290145874	
-2.0	-2.0	-4.550592e-08	2.229868e-11	37.936349868774414	
-2.5	-2.0	-4.337257e-08	3.200378e-11	39.376349449157715	
-3.0	-2.0	-4.150249e-08	-2.443713e-11	40.80634427070618	
-3.5	-2.0	-4.342e-08	5.918766e-12	42.226221799850464	
-4.0	-2.0	-4.243819e-08	2.70301e-12	43.64633655548096	
-4.5	-2.0	-4.356988e-08	-9.221503e-12	45.06633901596069	
-5.0	-2.0	-4.405343e-08	-8.372586e-13	46.48632860183716	
0.0	-3.0	1.589909e-11	1.043099e-10	47.91632533073425	
-0.5	-3.0	-1.611313e-08	1.374659e-11	49.566176414489746	
-1.0	-3.0	-4.023381e-08	1.351483e-11	50.986319065093994	
-1.5	-3.0	-6.481893e-08	7.019645e-12	52.42631721496582	
-2.0	-3.0	-8.982592e-08	-7.112406e-12	53.846330404281616	
-2.5	-3.0	-9.418595e-08	-4.934651e-11	55.27632808685303	
-3.0	-3.0	-1.094706e-07	-1.838796e-11	56.99496626853943	
-3.5	-3.0	-1.151475e-07	-5.446858e-11	58.13496494293213	
-4.0	-3.0	-1.111326e-07	-5.293019e-12	59.265465259552	
-4.5	-3.0	-1.161768e-07	-3.928196e-11	60.3836612701416	
-5.0	-3.0	-1.17385e-07	-9.824101e-12	61.50366020202637	
0.0	-4.0	1.433807e-11	6.509765e-12	63.27350831031799	
-0.5	-4.0	-1.994655e-08	-3.815497e-12	65.03365111351013	
-1.0	-4.0	-4.512869e-08	-1.787517e-12	66.44364833831787	
-1.5	-4.0	-8.177959e-08	-1.461014e-11	67.86364507675171	
-2.0	-4.0	-1.167668e-07	-6.121596e-12	69.56349349021912	
-2.5	-4.0	-1.377238e-07	-2.838882e-11	70.68363904953003	
-3.0	-4.0	-1.591038e-07	1.307448e-11	71.81364035606384	
-3.5	-4.0	-1.681393e-07	2.801167e-11	72.93363547325134	
-4.0	-4.0	-1.704578e-07	-3.732351e-11	74.06363010406494	
-4.5	-4.0	-1.787194e-07	2.104717e-11	75.18362736701965	
-5.0	-4.0	-1.787974e-07	-3.345297e-11	76.31082606315613	
0.0	-5.0	1.82319e-11	-7.60492e-12	77.62919092178345	
-0.5	-5.0	-1.645837e-08	-9.186738e-12	79.36923718452454	
-1.0	-5.0	-4.261308e-08	4.163154e-12	80.78923845291138	
-1.5	-5.0	-8.745982e-08	-2.169935e-12	82.21923351287842	
-2.0	-5.0	-1.320993e-07	2.539854e-11	83.92922759056091	
-2.5	-5.0	-1.581807e-07	-4.232973e-11	85.05922627449036	
-3.0	-5.0	-1.925173e-07	-3.688317e-11	86.18922233581543	
-3.5	-5.0	-1.991655e-07	7.308978e-11	87.3392219543457	
-4.0	-5.0	-1.974465e-07	5.131923e-11	88.15532088279724	
-4.5	-5.0	-2.184267e-07	2.509145e-11	89.17532110214233	
-5.0	-5.0	-2.228586e-07	1.061605e-10	89.97531819343567	
