Measurement:	R3T2_Out
Date:	2022-04-29	Time:	16:56:44
#################################################################################
V_Drain	V_Gate	I_Drain	I_Gate	t_Time	
0.0	0.0	-1.742654e-11	-2.217159e-11	0.49999523162841797	
-0.5	0.0	-2.009648e-11	-2.382294e-11	1.9399962425231934	
-1.0	0.0	-1.648045e-11	1.192145e-11	3.3699989318847656	
-1.5	0.0	-2.202932e-11	1.129569e-11	4.809992551803589	
-2.0	0.0	-2.348037e-11	3.212903e-12	6.229989528656006	
-2.5	0.0	-2.354422e-11	3.969121e-13	7.64997673034668	
-3.0	0.0	-2.589495e-11	-1.098874e-11	9.059983730316162	
-3.5	0.0	-2.876803e-11	3.838679e-12	10.469976663589478	
-4.0	0.0	-2.823987e-11	-7.848271e-12	11.89997410774231	
-4.5	0.0	-3.653996e-11	-4.765742e-12	13.319974899291992	
-5.0	0.0	-4.999417e-11	5.524767e-12	14.749971151351929	
0.0	-1.0	2.383349e-12	-1.15392e-11	16.079967737197876	
-0.5	-1.0	-8.931656e-10	-3.664841e-12	17.509963989257812	
-1.0	-1.0	-1.17593e-09	5.224257e-11	18.92996048927307	
-1.5	-1.0	-1.32315e-09	-1.021232e-11	20.349955320358276	
-2.0	-1.0	-1.479388e-09	-3.438867e-12	21.769953966140747	
-2.5	-1.0	-1.463822e-09	-7.280437e-12	23.189948797225952	
-3.0	-1.0	-1.843594e-09	8.079966e-12	24.619948625564575	
-3.5	-1.0	-1.623148e-09	8.381258e-12	26.059943437576294	
-4.0	-1.0	-1.679508e-09	-1.991186e-11	27.4699387550354	
-4.5	-1.0	-1.408311e-09	1.459832e-11	28.899935245513916	
-5.0	-1.0	-1.687218e-09	-8.122454e-11	30.00978708267212	
0.0	-2.0	-7.182045e-12	-2.923182e-12	31.659932851791382	
-0.5	-2.0	-6.540877e-09	-1.47434e-11	33.089927434921265	
-1.0	-2.0	-1.073026e-08	1.932378e-12	34.83992409706116	
-1.5	-2.0	-1.434837e-08	-2.238598e-11	36.24992656707764	
-2.0	-2.0	-1.389849e-08	5.403091e-12	37.65991711616516	
-2.5	-2.0	-1.404553e-08	2.760953e-12	39.08991503715515	
-3.0	-2.0	-1.39617e-08	-7.587538e-12	40.50991177558899	
-3.5	-2.0	-1.441042e-08	-2.378524e-12	41.93990683555603	
-4.0	-2.0	-1.491025e-08	1.788937e-11	43.35990858078003	
-4.5	-2.0	-1.648977e-08	-1.567334e-12	44.7699019908905	
-5.0	-2.0	-1.216753e-08	1.503288e-11	46.18989658355713	
0.0	-3.0	-1.603932e-11	-2.222374e-11	47.94989204406738	
-0.5	-3.0	-1.352793e-08	-4.591919e-12	49.69988965988159	
-1.0	-3.0	-2.675863e-08	8.757875e-12	51.1098849773407	
-1.5	-3.0	-3.392486e-08	-1.164552e-10	52.51988482475281	
-2.0	-3.0	-4.483501e-08	1.123774e-11	53.92988204956055	
-2.5	-3.0	-4.919668e-08	-2.260037e-11	55.339877128601074	
-3.0	-3.0	-4.843066e-08	-3.778124e-11	56.75987792015076	
-3.5	-3.0	-5.128467e-08	-6.187361e-11	58.199871301651	
-4.0	-3.0	-5.373564e-08	2.015488e-11	59.60986828804016	
-4.5	-3.0	-5.201945e-08	8.688347e-12	61.02986550331116	
-5.0	-3.0	-5.252597e-08	9.98043e-12	62.439861536026	
0.0	-4.0	1.243468e-11	-6.735786e-12	64.19985914230347	
-0.5	-4.0	-2.214733e-08	2.211329e-11	65.94985246658325	
-1.0	-4.0	-3.933614e-08	-2.453852e-12	67.359854221344	
-1.5	-4.0	-5.847621e-08	-6.926993e-12	68.79984474182129	
-2.0	-4.0	-6.890626e-08	2.980782e-11	70.20984554290771	
-2.5	-4.0	-7.597657e-08	4.67556e-11	71.63984107971191	
-3.0	-4.0	-8.644405e-08	-1.144649e-11	73.05983591079712	
-3.5	-4.0	-9.115649e-08	-2.145892e-11	74.4798321723938	
-4.0	-4.0	-9.06732e-08	1.73737e-11	75.90983271598816	
-4.5	-4.0	-9.472397e-08	4.345916e-14	77.31982898712158	
-5.0	-4.0	-9.698583e-08	-5.05546e-12	78.74982357025146	
0.0	-5.0	1.484873e-11	-4.458653e-12	80.5198233127594	
-0.5	-5.0	-2.485169e-08	-3.391072e-11	82.26981616020203	
-1.0	-5.0	-4.152918e-08	-3.774069e-11	83.67981743812561	
-1.5	-5.0	-6.936494e-08	1.002099e-11	85.09981036186218	
-2.0	-5.0	-8.635812e-08	-4.86802e-11	86.51981019973755	
-2.5	-5.0	-1.055772e-07	-9.012915e-12	87.92980313301086	
-3.0	-5.0	-1.174856e-07	-7.06693e-11	89.05979943275452	
-3.5	-5.0	-1.244232e-07	1.043237e-11	90.22979855537415	
-4.0	-5.0	-1.241379e-07	-3.659923e-11	91.36979961395264	
-4.5	-5.0	-1.23043e-07	-1.025868e-11	92.50979423522949	
-5.0	-5.0	-1.206711e-07	7.262998e-12	93.6497905254364	
