Measurement:	T3T2_Out
Date:	2022-04-29	Time:	17:18:39
#################################################################################
V_Drain	V_Gate	I_Drain	I_Gate	t_Time	
0.0	0.0	-1.165131e-11	9.356096e-11	0.17987799644470215	
-0.5	0.0	-1.489008e-11	-3.942954e-12	1.5198445320129395	
-1.0	0.0	-1.435609e-11	-1.167824e-11	2.939988374710083	
-1.5	0.0	-1.468693e-11	2.355359e-12	4.36998724937439	
-2.0	0.0	-2.196546e-11	-1.312381e-12	5.789984464645386	
-2.5	0.0	-3.655735e-11	2.117794e-12	7.199981451034546	
-3.0	0.0	-6.458606e-11	-1.36453e-12	8.629974603652954	
-3.5	0.0	-1.021744e-10	-6.266447e-12	10.049973964691162	
-4.0	0.0	-1.473663e-10	2.540772e-12	11.479970693588257	
-4.5	0.0	-3.446818e-10	2.366946e-12	12.899965286254883	
-5.0	0.0	-4.575451e-10	-3.380919e-12	14.32996416091919	
0.0	-1.0	1.083201e-12	6.228835e-13	15.649950981140137	
-0.5	-1.0	-4.320959e-09	1.468523e-11	17.079962015151978	
-1.0	-1.0	-8.278383e-09	2.078062e-11	18.49995446205139	
-1.5	-1.0	-1.101033e-08	-1.448843e-11	20.2501437664032	
-2.0	-1.0	-1.201085e-08	-1.00132e-10	21.339993238449097	
-2.5	-1.0	-1.283386e-08	-4.441269e-12	22.649991750717163	
-3.0	-1.0	-1.221217e-08	1.238498e-11	24.060134410858154	
-3.5	-1.0	-1.260042e-08	-6.104206e-12	25.490130186080933	
-4.0	-1.0	-1.234941e-08	-6.364945e-12	26.910127878189087	
-4.5	-1.0	-1.226871e-08	9.117102e-12	28.320125818252563	
-5.0	-1.0	-1.187583e-08	-2.963739e-12	29.730121612548828	
0.0	-2.0	7.803851e-12	-1.309204e-11	31.490045309066772	
-0.5	-2.0	-1.648917e-08	-1.218814e-11	33.23996663093567	
-1.0	-2.0	-3.655412e-08	1.82229e-12	34.67011260986328	
-1.5	-2.0	-4.668356e-08	-5.642704e-11	36.10010480880737	
-2.0	-2.0	-5.405994e-08	-3.230274e-12	37.51009511947632	
-2.5	-2.0	-6.324633e-08	-1.219394e-11	38.94009828567505	
-3.0	-2.0	-6.688866e-08	8.207433e-12	40.350090980529785	
-3.5	-2.0	-6.728045e-08	6.198825e-11	41.77008819580078	
-4.0	-2.0	-6.803464e-08	3.601115e-12	43.190094232559204	
-4.5	-2.0	-6.693118e-08	1.042657e-11	44.61006140708923	
-5.0	-2.0	-6.466798e-08	1.928575e-11	46.05007076263428	
0.0	-3.0	2.380281e-11	-4.296417e-12	47.380077838897705	
-0.5	-3.0	-2.769491e-08	-1.833582e-11	49.12007737159729	
-1.0	-3.0	-5.432253e-08	-5.432081e-12	50.53007793426514	
-1.5	-3.0	-7.981e-08	-4.128382e-12	51.949923515319824	
-2.0	-3.0	-1.026875e-07	8.717315e-12	53.38006138801575	
-2.5	-3.0	-1.172523e-07	-1.072221e-11	55.08004069328308	
-3.0	-3.0	-1.305094e-07	1.681167e-11	56.21004939079285	
-3.5	-3.0	-1.44705e-07	6.336148e-11	57.3700590133667	
-4.0	-3.0	-1.45015e-07	-7.37315e-12	58.4900484085083	
-4.5	-3.0	-1.565438e-07	-1.888627e-11	59.62004852294922	
-5.0	-3.0	-1.518836e-07	-3.665135e-11	60.75005626678467	
0.0	-4.0	1.982773e-11	-6.654666e-12	62.51990985870361	
-0.5	-4.0	-3.620927e-08	8.769463e-12	64.27005100250244	
-1.0	-4.0	-7.377115e-08	-2.833664e-11	65.67990231513977	
-1.5	-4.0	-1.085053e-07	1.202566e-10	67.05993747711182	
-2.0	-4.0	-1.482342e-07	-6.770551e-12	68.0800449848175	
-2.5	-4.0	-1.732225e-07	-1.000046e-10	68.88989520072937	
-3.0	-4.0	-1.934177e-07	7.987258e-12	69.90004062652588	
-3.5	-4.0	-2.120012e-07	-7.547518e-11	70.70989084243774	
-4.0	-4.0	-2.275147e-07	-2.387511e-11	71.71003603935242	
-4.5	-4.0	-2.496874e-07	2.786682e-11	72.84003210067749	
-5.0	-4.0	-2.404756e-07	-3.688895e-11	73.96003031730652	
0.0	-5.0	2.365773e-11	4.200832e-13	75.72994589805603	
-0.5	-5.0	-4.072466e-08	5.148151e-12	77.49002504348755	
-1.0	-5.0	-8.611164e-08	-4.481826e-12	78.91001844406128	
-1.5	-5.0	-1.32242e-07	-8.873857e-12	80.61001539230347	
-2.0	-5.0	-1.739777e-07	-7.90912e-13	81.75001692771912	
-2.5	-5.0	-2.033815e-07	4.255489e-11	82.88001203536987	
-3.0	-5.0	-2.323865e-07	-5.159759e-12	84.00000882148743	
-3.5	-5.0	-2.671459e-07	8.888559e-11	84.79986071586609	
-4.0	-5.0	-2.901864e-07	-1.310944e-11	85.80000352859497	
-4.5	-5.0	-3.135825e-07	9.017334e-11	86.61989879608154	
-5.0	-5.0	-3.20319e-07	-3.059062e-11	87.63985347747803	
