Measurement:	L2B2_Out
Date:	2022-04-21	Time:	10:47:48
#################################################################################
V_Drain	V_Gate	I_Drain	I_Gate	t_Time	
0.0	0.0	-1.783254e-11	-1.434568e-12	0.17985939979553223	
-0.2	0.0	-1.794282e-11	-4.591847e-12	1.49985671043396	
-0.4	0.0	-1.983494e-11	1.698293e-12	2.589887857437134	
-0.6000000000000001	0.0	-1.989883e-11	-5.368263e-12	3.8998513221740723	
-0.8	0.0	-1.893532e-11	-4.076891e-13	4.989880800247192	
-1.0	0.0	-2.160525e-11	-2.726122e-12	6.28984522819519	
-1.2000000000000002	0.0	-2.047923e-11	-4.13231e-12	7.399842977523804	
-1.4000000000000001	0.0	-2.071721e-11	-1.023538e-11	8.69983983039856	
-1.6	0.0	-1.954476e-11	-3.848033e-12	9.799867153167725	
-1.8	0.0	-2.219728e-11	-3.890744e-12	11.09998607635498	
-2.0	0.0	-2.296923e-11	3.601211e-12	12.209860801696777	
-2.2	0.0	-2.084489e-11	-2.082967e-12	13.509829998016357	
-2.4000000000000004	0.0	-2.285314e-11	-4.230933e-12	14.599855661392212	
-2.6	0.0	-2.294023e-11	-6.706723e-12	15.88997220993042	
-2.8000000000000003	0.0	-2.238883e-11	-6.086745e-12	17.319968700408936	
-3.0	0.0	-2.447834e-11	-3.780662e-12	18.72996973991394	
-3.2	0.0	-2.400238e-11	7.246721e-14	20.149961948394775	
-3.4000000000000004	0.0	-2.790861e-11	-1.700549e-12	21.559959411621094	
-3.6	0.0	-2.636469e-11	5.171318e-12	22.97995638847351	
-3.8000000000000003	0.0	-2.855287e-11	-3.230216e-12	24.38995361328125	
-4.0	0.0	-2.972532e-11	2.598727e-12	25.799950122833252	
-4.2	0.0	-3.361992e-11	8.405689e-14	27.21994709968567	
-4.4	0.0	-3.420034e-11	1.468864e-12	28.629943132400513	
-4.6000000000000005	0.0	-3.619116e-11	-8.943266e-12	30.049941301345825	
-4.800000000000001	0.0	-3.901199e-11	-7.344081e-12	31.479936838150024	
-5.0	0.0	-4.107245e-11	2.442283e-12	32.889933824539185	
0.0	-1.0	-7.785522e-12	-8.135407e-12	34.329933404922485	
-0.2	-1.0	-5.070425e-10	-1.353088e-11	35.319929122924805	
-0.4	-1.0	-7.323483e-10	-1.832299e-11	36.299927949905396	
-0.6000000000000001	-1.0	-9.640108e-10	-2.053342e-11	37.26992440223694	
-0.8	-1.0	-8.228356e-10	-2.437407e-11	38.24992299079895	
-1.0	-1.0	-8.257151e-10	-2.060884e-11	39.22991871833801	
-1.2000000000000002	-1.0	-8.641092e-10	-3.395248e-11	40.19991731643677	
-1.4000000000000001	-1.0	-7.769304e-10	-1.005574e-11	41.169914960861206	
-1.6	-1.0	-8.507955e-10	-1.847965e-11	42.149914264678955	
-1.8	-1.0	-8.626806e-10	-2.472216e-11	43.12991261482239	
-2.0	-1.0	-9.05395e-10	-1.694803e-11	44.09990882873535	
-2.2	-1.0	-9.063121e-10	-1.800972e-11	45.06990671157837	
-2.4000000000000004	-1.0	-8.165328e-10	-1.673918e-11	46.078415632247925	
-2.6	-1.0	-7.871467e-10	-2.251756e-11	47.058414459228516	
-2.8000000000000003	-1.0	-8.072114e-10	-1.199347e-11	48.03841209411621	
-3.0	-1.0	-7.626347e-10	-1.127407e-11	49.008408546447754	
-3.2	-1.0	-8.232597e-10	-2.118898e-11	49.98840928077698	
-3.4000000000000004	-1.0	-7.907107e-10	-9.185504e-12	50.96840453147888	
-3.6	-1.0	-7.802397e-10	-2.44843e-11	51.9384024143219	
-3.8000000000000003	-1.0	-7.720034e-10	1.883941e-12	52.90840411186218	
-4.0	-1.0	-7.75283e-10	-2.16125e-11	53.878398418426514	
-4.2	-1.0	-7.32274e-10	-9.133285e-12	54.848395586013794	
-4.4	-1.0	-6.262841e-10	-9.742438e-12	55.82839322090149	
-4.6000000000000005	-1.0	-7.23771e-10	1.564853e-12	56.79838967323303	
-4.800000000000001	-1.0	-7.208168e-10	7.234001e-12	58.0982391834259	
-5.0	-1.0	-6.274279e-10	-8.056767e-12	59.52838492393494	
0.0	-2.0	-2.904218e-12	-3.620992e-13	60.84830689430237	
-0.2	-2.0	-2.770272e-09	-1.120879e-11	62.26838278770447	
-0.4	-2.0	-4.947568e-09	-3.125915e-12	63.6883761882782	
-0.6000000000000001	-2.0	-6.519898e-09	-3.183863e-12	65.09837222099304	
-0.8	-2.0	-7.625856e-09	-2.640693e-11	66.50837349891663	
-1.0	-2.0	-8.612279e-09	-7.033105e-12	67.93834662437439	
-1.2000000000000002	-2.0	-8.436024e-09	-3.699542e-12	69.24821519851685	
-1.4000000000000001	-2.0	-9.184477e-09	-1.35831e-11	70.33824110031128	
-1.6	-2.0	-9.238587e-09	-3.212577e-11	71.64821004867554	
-1.8	-2.0	-8.962277e-09	-1.057471e-12	73.39835476875305	
-2.0	-2.0	-8.3833e-09	8.902689e-12	74.82820248603821	
-2.2	-2.0	-9.288661e-09	-4.375984e-12	75.91822957992554	
-2.4000000000000004	-2.0	-9.55998e-09	1.881052e-11	77.54819512367249	
-2.6	-2.0	-9.422897e-09	-3.540552e-12	78.63822221755981	
-2.8000000000000003	-2.0	-9.417152e-09	-2.76089e-12	80.37833857536316	
-3.0	-2.0	-8.7521e-09	7.464728e-12	81.598215341568	
-3.2	-2.0	-8.107405e-09	-7.749676e-12	82.89818501472473	
-3.4000000000000004	-2.0	-8.581966e-09	6.49019e-12	84.42830896377563	
-3.6	-2.0	-7.69042e-09	-1.498082e-11	85.72817802429199	
-3.8000000000000003	-2.0	-8.246216e-09	-2.933444e-11	87.03817439079285	
-4.0	-2.0	-8.262843e-09	2.282e-11	88.77817010879517	
-4.2	-2.0	-8.603071e-09	-1.375134e-11	90.07828831672668	
-4.4	-2.0	-8.477683e-09	-1.329726e-12	91.81816339492798	
-4.6000000000000005	-2.0	-8.550567e-09	1.650238e-11	93.23828768730164	
-4.800000000000001	-2.0	-8.821578e-09	-3.827018e-12	94.54815721511841	
-5.0	-2.0	-8.59528e-09	-2.630019e-11	95.63818359375	
0.0	-3.0	-4.593228e-12	-4.753082e-12	96.96829414367676	
-0.2	-3.0	-5.082448e-09	-7.268767e-12	98.25830101966858	
-0.4	-3.0	-9.207617e-09	-1.082736e-11	99.57814598083496	
-0.6000000000000001	-3.0	-1.382188e-08	-3.143307e-12	100.89814305305481	
-0.8	-3.0	-1.676954e-08	-8.87802e-12	101.98816919326782	
-1.0	-3.0	-1.971832e-08	-3.687961e-12	103.28813767433167	
-1.2000000000000002	-3.0	-2.331671e-08	-1.01686e-12	104.37816381454468	
-1.4000000000000001	-3.0	-2.452699e-08	1.233856e-11	105.67813110351562	
-1.6	-3.0	-2.734743e-08	-6.97326e-12	107.08827877044678	
-1.8	-3.0	-2.798381e-08	-1.557307e-11	108.17986249923706	
-2.0	-3.0	-2.809038e-08	-2.069965e-11	109.48986721038818	
-2.2	-3.0	-2.83637e-08	1.30161e-11	110.57989621162415	
-2.4000000000000004	-3.0	-2.859599e-08	1.25008e-11	111.88985967636108	
-2.6	-3.0	-2.84778e-08	6.925252e-12	112.98988437652588	
-2.8000000000000003	-3.0	-2.831267e-08	-2.505943e-12	114.30985450744629	
-3.0	-3.0	-2.795039e-08	1.376441e-11	115.41988134384155	
-3.2	-3.0	-2.920584e-08	2.806943e-11	116.71984910964966	
-3.4000000000000004	-3.0	-2.840018e-08	2.474533e-11	117.8098816871643	
-3.6	-3.0	-2.799478e-08	1.775952e-12	119.10984373092651	
-3.8000000000000003	-3.0	-2.852757e-08	-2.223908e-11	120.20983910560608	
-4.0	-3.0	-2.846148e-08	8.984393e-14	121.51983833312988	
-4.2	-3.0	-2.88717e-08	1.448819e-12	122.60983324050903	
-4.4	-3.0	-2.888426e-08	-2.737456e-11	123.90983200073242	
-4.6000000000000005	-3.0	-2.727657e-08	3.37418e-11	125.32997727394104	
-4.800000000000001	-3.0	-2.805781e-08	-2.214822e-11	126.74997448921204	
-5.0	-3.0	-2.76252e-08	-1.770088e-12	128.16997170448303	
0.0	-4.0	7.159682e-12	-2.600691e-12	129.61996626853943	
-0.2	-4.0	-7.03648e-09	-1.239958e-11	130.60996389389038	
-0.4	-4.0	-1.27755e-08	-1.336845e-11	131.91996097564697	
-0.6000000000000001	-4.0	-1.891614e-08	-1.490588e-11	132.88996148109436	
-0.8	-4.0	-2.371331e-08	-1.741798e-11	133.8599579334259	
-1.0	-4.0	-2.962079e-08	-1.227195e-11	134.83995461463928	
-1.2000000000000002	-4.0	-3.590976e-08	-1.201669e-11	135.8099546432495	
-1.4000000000000001	-4.0	-4.076482e-08	-2.106717e-11	136.78995013237	
-1.6	-4.0	-4.577482e-08	-1.394861e-11	137.76995038986206	
-1.8	-4.0	-5.012166e-08	-2.281924e-11	138.7399458885193	
-2.0	-4.0	-5.308904e-08	-1.265486e-11	139.71994400024414	
-2.2	-4.0	-5.570481e-08	-1.934988e-11	140.6899425983429	
-2.4000000000000004	-4.0	-5.828217e-08	-5.727747e-12	141.66993856430054	
-2.6	-4.0	-5.966481e-08	-7.450819e-12	142.6499376296997	
-2.8000000000000003	-4.0	-5.889494e-08	3.879687e-12	143.61993408203125	
-3.0	-4.0	-5.807606e-08	-2.259877e-11	144.58993339538574	
-3.2	-4.0	-5.983588e-08	-2.023755e-11	145.5699315071106	
-3.4000000000000004	-4.0	-6.009353e-08	-2.474536e-11	146.5499291419983	
-3.6	-4.0	-5.817233e-08	-2.348645e-11	147.5199294090271	
-3.8000000000000003	-4.0	-5.857121e-08	3.07231e-11	148.83977675437927	
-4.0	-4.0	-5.827626e-08	-1.46969e-11	150.25992226600647	
-4.2	-4.0	-5.831267e-08	1.695063e-11	151.68991708755493	
-4.4	-4.0	-5.833247e-08	1.685214e-11	153.1099145412445	
-4.6000000000000005	-4.0	-5.760798e-08	3.7056e-11	154.5299108028412	
-4.800000000000001	-4.0	-5.79347e-08	-8.76946e-12	155.9399073123932	
-5.0	-4.0	-5.691299e-08	-1.055985e-11	157.34990429878235	
0.0	-5.0	1.665912e-11	-4.719324e-12	159.1098656654358	
-0.2	-5.0	-8.196759e-09	-3.285274e-12	160.5298776626587	
-0.4	-5.0	-1.602276e-08	-1.038603e-11	162.1498920917511	
-0.6000000000000001	-5.0	-2.307419e-08	-7.711904e-12	163.24976897239685	
-0.8	-5.0	-2.989846e-08	-3.050601e-12	164.54988622665405	
-1.0	-5.0	-3.632091e-08	2.62074e-12	165.65976810455322	
-1.2000000000000002	-5.0	-4.473276e-08	5.2872e-12	166.9597361087799	
-1.4000000000000001	-5.0	-5.217206e-08	-1.341318e-12	168.36987781524658	
-1.6	-5.0	-5.907713e-08	1.188164e-13	169.77987480163574	
-1.8	-5.0	-6.647969e-08	-3.259186e-12	171.18987202644348	
-2.0	-5.0	-7.269859e-08	7.065975e-12	172.6098690032959	
-2.2	-5.0	-7.782347e-08	8.294313e-12	174.05987215042114	
-2.4000000000000004	-5.0	-8.144634e-08	6.654596e-12	175.47986221313477	
-2.6	-5.0	-8.35686e-08	-8.462366e-12	176.89985942840576	
-2.8000000000000003	-5.0	-8.538038e-08	4.794706e-12	178.31985592842102	
-3.0	-5.0	-8.558627e-08	5.652226e-12	179.7598536014557	
-3.2	-5.0	-8.598801e-08	-2.75509e-12	181.17985010147095	
-3.4000000000000004	-5.0	-8.626407e-08	1.064091e-11	182.58984851837158	
-3.6	-5.0	-8.661737e-08	9.626948e-12	184.0298457145691	
-3.8000000000000003	-5.0	-8.645427e-08	-6.040395e-12	185.43984293937683	
-4.0	-5.0	-8.800924e-08	2.655718e-11	186.87983798980713	
-4.2	-5.0	-8.699524e-08	5.860812e-12	188.29983639717102	
-4.4	-5.0	-8.793664e-08	1.37006e-11	189.38989567756653	
-4.6000000000000005	-5.0	-8.804904e-08	-8.659367e-12	190.68986988067627	
-4.800000000000001	-5.0	-8.830598e-08	-9.864288e-12	191.7898690700531	
-5.0	-5.0	-8.746739e-08	-6.518106e-13	193.08986473083496	
