Measurement:	L2R2_Out
Date:	2022-04-21	Time:	10:43:52
#################################################################################
V_Drain	V_Gate	I_Drain	I_Gate	t_Time	
0.0	0.0	-2.042122e-11	4.552672e-12	0.17754888534545898	
-0.2	0.0	-2.296342e-11	1.787543e-12	1.5097765922546387	
-0.4	0.0	-1.978853e-11	-2.198851e-12	2.954725503921509	
-0.6000000000000001	0.0	-1.934744e-11	-8.404416e-12	4.380746126174927	
-0.8	0.0	-1.984659e-11	3.531593e-12	5.478744983673096	
-1.0	0.0	-2.090297e-11	-4.374235e-13	6.8107194900512695	
-1.2000000000000002	0.0	-2.028192e-11	-1.43402e-12	8.23874020576477	
-1.4000000000000001	0.0	-2.064176e-11	4.918172e-12	9.33862829208374	
-1.6	0.0	-2.030513e-11	-7.031199e-12	10.665778875350952	
-1.8	0.0	-2.078688e-11	-4.261584e-12	12.090672254562378	
-2.0	0.0	-2.195931e-11	4.335399e-13	13.20088243484497	
-2.2	0.0	-2.284737e-11	-2.749301e-12	14.517977476119995	
-2.4000000000000004	0.0	-2.253975e-11	-1.203737e-11	15.947758436203003	
-2.6	0.0	-2.216246e-11	-1.248922e-12	17.050748109817505	
-2.8000000000000003	0.0	-2.132665e-11	-1.251561e-11	18.04378056526184	
-3.0	0.0	-2.967887e-11	-8.4545e-12	19.0215322971344	
-3.2	0.0	-2.694511e-11	-6.069365e-12	20.33013916015625	
-3.4000000000000004	0.0	-2.496008e-11	-3.207042e-12	21.750255823135376	
-3.6	0.0	-2.79608e-11	1.065517e-11	22.862228870391846	
-3.8000000000000003	0.0	-2.905202e-11	1.683246e-12	24.185791969299316	
-4.0	0.0	-2.827428e-11	4.02733e-13	25.633620023727417	
-4.2	0.0	-3.359087e-11	6.950092e-12	27.04366111755371	
-4.4	0.0	-3.262161e-11	-1.451401e-12	28.465672731399536	
-4.6000000000000005	0.0	-3.865796e-11	1.52436e-11	29.563862323760986	
-4.800000000000001	0.0	-3.431062e-11	-2.090154e-12	30.564107418060303	
-5.0	0.0	-4.314456e-11	1.54998e-12	31.871731281280518	
0.0	-1.0	-7.785522e-12	5.359992e-13	33.64493227005005	
-0.2	-1.0	-5.359363e-10	2.337987e-12	35.07699799537659	
-0.4	-1.0	-8.186679e-10	-3.731998e-12	36.19747042655945	
-0.6000000000000001	-1.0	-8.229989e-10	9.847116e-12	37.504650831222534	
-0.8	-1.0	-8.726997e-10	4.865958e-12	38.606396198272705	
-1.0	-1.0	-8.296911e-10	-1.399763e-12	39.587690353393555	
-1.2000000000000002	-1.0	-9.696115e-10	-2.870978e-12	40.87874460220337	
-1.4000000000000001	-1.0	-7.893924e-10	-3.821225e-12	42.2960946559906	
-1.6	-1.0	-8.333883e-10	-5.066371e-12	43.398858308792114	
-1.8	-1.0	-8.169107e-10	1.095378e-11	44.72737002372742	
-2.0	-1.0	-8.280021e-10	-1.882772e-11	45.839298486709595	
-2.2	-1.0	-9.517237e-10	1.91234e-11	47.14263463020325	
-2.4000000000000004	-1.0	-7.8165e-10	-1.676543e-11	48.571866035461426	
-2.6	-1.0	-7.968509e-10	-1.359601e-11	49.98362588882446	
-2.8000000000000003	-1.0	-8.153544e-10	-1.111743e-11	51.07043719291687	
-3.0	-1.0	-8.207063e-10	6.700947e-12	52.391114711761475	
-3.2	-1.0	-8.426054e-10	2.749375e-12	53.80874443054199	
-3.4000000000000004	-1.0	-8.939316e-10	-8.728898e-12	55.2328040599823	
-3.6	-1.0	-8.591419e-10	-3.392456e-12	56.66185474395752	
-3.8000000000000003	-1.0	-8.627112e-10	9.679089e-12	58.094749450683594	
-4.0	-1.0	-7.995729e-10	2.034015e-11	59.53074645996094	
-4.2	-1.0	-7.876401e-10	3.113877e-12	60.63430666923523	
