Measurement:	T2B2_Out
Date:	2022-04-21	Time:	10:51:37
#################################################################################
V_Drain	V_Gate	I_Drain	I_Gate	t_Time	
0.0	0.0	-1.783255e-11	-9.29925e-13	0.5000317096710205	
-0.2	0.0	-2.160526e-11	-3.716922e-12	1.9400148391723633	
-0.4	0.0	-2.121637e-11	-3.913926e-12	3.360027551651001	
-0.6000000000000001	0.0	-1.967246e-11	-5.292943e-12	4.770021438598633	
-0.8	0.0	-2.203476e-11	-1.42243e-12	6.190021753311157	
-1.0	0.0	-2.027611e-11	-3.762398e-14	7.610016822814941	
-1.2000000000000002	0.0	-2.100744e-11	-2.088758e-12	9.020012378692627	
-1.4000000000000001	0.0	-1.908044e-11	-7.355667e-12	10.440008878707886	
-1.6	0.0	-2.011938e-11	-3.273267e-13	11.850005149841309	
-1.8	0.0	-1.994527e-11	3.085438e-12	13.270005941390991	
-2.0	0.0	-2.054888e-11	-1.636561e-11	14.680001258850098	
-2.2	0.0	-1.927776e-11	-3.612735e-13	15.789851665496826	
-2.4000000000000004	0.0	-2.249331e-11	-4.400635e-12	17.08984684944153	
-2.6	0.0	-2.630664e-11	-1.575996e-15	18.179847717285156	
-2.8000000000000003	0.0	-2.494267e-11	9.068284e-13	19.489840030670166	
-3.0	0.0	-2.27719e-11	-8.786818e-12	20.899985313415527	
-3.2	0.0	-2.614991e-11	-6.80777e-13	22.309983253479004	
-3.4000000000000004	0.0	-2.334652e-11	-5.648945e-13	23.72997808456421	
-3.6	0.0	-2.454218e-11	-2.059787e-12	25.149978637695312	
-3.8000000000000003	0.0	-2.623702e-11	3.595325e-12	26.589972972869873	
-4.0	0.0	-2.757775e-11	-1.683167e-12	28.00996994972229	
-4.2	0.0	-3.117052e-11	3.577943e-12	29.429966688156128	
-4.4	0.0	-3.283055e-11	4.37174e-12	30.840287685394287	
-4.6000000000000005	0.0	-3.119377e-11	3.479442e-12	32.28028225898743	
-4.800000000000001	0.0	-3.177419e-11	2.54658e-12	33.69027614593506	
-5.0	0.0	-3.262159e-11	6.838238e-12	34.78013873100281	
0.0	-1.0	-1.092558e-11	-3.401305e-12	36.11026215553284	
-0.2	-1.0	-4.876918e-10	-3.601041e-12	37.410266637802124	
-0.4	-1.0	-7.555415e-10	-1.451972e-12	38.5101273059845	
-0.6000000000000001	-1.0	-1.019981e-09	-2.482765e-12	39.810123443603516	
-0.8	-1.0	-1.090588e-09	-4.538423e-12	40.91012215614319	
-1.0	-1.0	-1.104801e-09	3.792328e-12	42.21011781692505	
-1.2000000000000002	-1.0	-1.096584e-09	1.799132e-12	43.63026547431946	
-1.4000000000000001	-1.0	-1.148519e-09	-6.666161e-12	45.05026125907898	
-1.6	-1.0	-1.115419e-09	-8.879539e-12	46.46026134490967	
-1.8	-1.0	-1.015442e-09	6.634741e-13	47.87025284767151	
-2.0	-1.0	-1.137185e-09	-7.57005e-12	49.28024983406067	
-2.2	-1.0	-1.125739e-09	2.361166e-12	50.690247535705566	
-2.4000000000000004	-1.0	-1.134335e-09	-1.682915e-11	52.10024309158325	
-2.6	-1.0	-1.14553e-09	-1.607846e-12	53.52023935317993	
-2.8000000000000003	-1.0	-9.989521e-10	6.770478e-12	54.93023633956909	
-3.0	-1.0	-9.931944e-10	3.679691e-13	56.360233783721924	
-3.2	-1.0	-9.670466e-10	-5.808624e-12	57.7802300453186	
-3.4000000000000004	-1.0	-8.926195e-10	-3.224422e-12	59.190227031707764	
-3.6	-1.0	-9.418279e-10	-2.06533e-11	60.6002242565155	
-3.8000000000000003	-1.0	-8.913145e-10	3.131791e-12	62.03022050857544	
-4.0	-1.0	-9.61632e-10	5.034188e-12	63.15007185935974	
-4.2	-1.0	-9.965553e-10	5.397287e-12	64.46006727218628	
-4.4	-1.0	-9.842451e-10	-9.707634e-12	65.56006455421448	
-4.6000000000000005	-1.0	-9.984356e-10	-1.045555e-11	66.85021042823792	
-4.800000000000001	-1.0	-9.383283e-10	-4.283152e-12	67.9600613117218	
-5.0	-1.0	-1.021397e-09	-3.197512e-11	69.27005696296692	
0.0	-2.0	-7.089019e-12	-2.858824e-15	71.0301742553711	
-0.2	-2.0	-2.822527e-09	5.2872e-12	72.47019624710083	
-0.4	-2.0	-5.111179e-09	-1.781667e-12	73.89019465446472	
-0.6000000000000001	-2.0	-6.857981e-09	-1.173283e-12	75.32019066810608	
-0.8	-2.0	-8.343517e-09	-1.58467e-12	76.74018859863281	
-1.0	-2.0	-9.475709e-09	-8.256325e-13	78.48018527030945	
-1.2000000000000002	-2.0	-1.03809e-08	-1.433186e-11	79.91018104553223	
-1.4000000000000001	-2.0	-1.070253e-08	-5.356677e-12	81.34018278121948	
-1.6	-2.0	-1.132681e-08	-5.171271e-12	82.7501745223999	
-1.8	-2.0	-1.137957e-08	-1.452307e-11	84.17017102241516	
-2.0	-2.0	-1.094843e-08	3.311411e-12	85.58016753196716	
-2.2	-2.0	-1.090515e-08	-1.664375e-11	87.01016473770142	
-2.4000000000000004	-2.0	-1.077415e-08	5.061231e-12	88.43016004562378	
-2.6	-2.0	-1.04861e-08	4.226888e-12	89.84015822410583	
