Measurement:	T2R2_Out
Date:	2022-04-28	Time:	10:34:39
#################################################################################
V_Drain	V_Gate	I_Drain	I_Gate	t_Time	
0.0	0.0	2.125414e-13	-2.905819e-12	0.5000011920928955	
-0.2	0.0	-4.609018e-10	-1.52244e-11	1.9799840450286865	
-0.4	0.0	-6.111634e-10	5.37992e-12	3.399994373321533	
-0.6000000000000001	0.0	-5.798201e-10	-6.834328e-12	4.819988965988159	
-0.8	0.0	-5.794432e-10	2.407498e-12	6.239985466003418	
-1.0	0.0	-6.81198e-10	7.454213e-12	7.6599814891815186	
-1.2000000000000002	0.0	-6.9121e-10	-1.248671e-12	9.069981098175049	
-1.4000000000000001	0.0	-7.175792e-10	-2.789938e-12	10.489975452423096	
-1.6	0.0	-7.100559e-10	5.475436e-13	11.899972915649414	
-1.8	0.0	-7.032195e-10	-1.348032e-11	13.33004093170166	
-2.0	0.0	-7.729923e-10	-1.101777e-11	14.75003695487976	
-2.2	0.0	-7.838694e-10	-1.133645e-11	16.180041074752808	
-2.4000000000000004	0.0	-8.357307e-10	-1.167252e-11	17.620027542114258	
-2.6	0.0	-8.588379e-10	-1.31964e-11	19.040029525756836	
-2.8000000000000003	0.0	-8.501022e-10	-1.368891e-11	20.460023641586304	
-3.0	0.0	-8.858514e-10	-1.029929e-11	21.87994074821472	
-3.2	0.0	-9.020798e-10	-2.50804e-11	23.290018320083618	
-3.4000000000000004	0.0	-9.498434e-10	2.346565e-13	24.720017910003662	
-3.6	0.0	-1.020603e-09	-5.765366e-13	26.14001154899597	
-3.8000000000000003	0.0	-9.913368e-10	-8.520454e-12	27.570012092590332	
-4.0	0.0	-1.0492e-09	4.15736e-12	28.98000979423523	
-4.2	0.0	-1.098925e-09	2.372733e-12	30.39000129699707	
-4.4	0.0	-1.126612e-09	1.066416e-11	31.809998989105225	
-4.6000000000000005	0.0	-1.260268e-09	-1.270388e-11	33.22999572753906	
-4.800000000000001	0.0	-1.186587e-09	-9.007165e-12	34.63999319076538	
-5.0	0.0	-1.374924e-09	-2.333053e-11	36.04999113082886	
0.0	-1.0	9.62603e-12	4.374569e-13	37.809956073760986	
-0.2	-1.0	-4.949392e-09	1.310347e-11	39.22998309135437	
-0.4	-1.0	-9.333902e-09	2.558149e-12	40.64997839927673	
-0.6000000000000001	-1.0	-1.327777e-08	2.606335e-14	42.39997625350952	
-0.8	-1.0	-1.619957e-08	1.54995e-12	43.82997679710388	
-1.0	-1.0	-1.819261e-08	3.259253e-12	45.24997282028198	
-1.2000000000000002	-1.0	-1.832848e-08	-6.283861e-12	46.679965019226074	
-1.4000000000000001	-1.0	-1.902168e-08	-5.153989e-12	48.10996079444885	
-1.6	-1.0	-1.94286e-08	-3.763372e-12	49.53995752334595	
-1.8	-1.0	-1.892563e-08	-3.717017e-12	50.949955463409424	
-2.0	-1.0	-1.951384e-08	-8.982051e-14	52.36995196342468	
